W/L,Win_Margin,Away,Home,Year,Point_Differential,RW,GF/GP,GA/GP,Total_goal_differential,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,Shot_Differential,FOW%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,SF GP,W% SF,W% TF,PIM,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
0,-4,TBL,FLA,2022,12,3,0.63,0.17,0.46,0.5,-1.1,-0.6,0.9,6.4,0.9,5.5,-1.9,0.117,-0.262,0.145,2,-4,9,-3,2,-4,5,0.004,0.144,-69,-0.25,-0.25,0,-6,-5,-11,0,-4,5,21,12,18,10,4,1,0,-3,0.073,6,-1,0,-3,0.107,4,-6,0,1,0.192,5,-1,0,-1,0.153
0,-3,EDM,CGY,2022,7,6,0.07,-0.55,0.62,-3.1,3.8,-1.8,2.3,1.5,-3.3,4.8,-0.2,-0.23,0.088,0.128,-7,1,7,0,-2,-4,21,-0.157,-0.015,78,0.52,0.27,0.25,2,9,12,1,-1,-1,6,-29,0,1,4,5,0,1,-0.145,5,-1,0,1,0.009,-5,-13,0,0,-0.027,-5,-9,0,2,-0.121
0,-2,TBL,NYR,2022,0,5,-0.43,-0.29,-0.14,1.3,1.7,2.3,2.5,-1.7,1,-2.7,-2,0.04,-0.203,0.056,2,-1,0,1,3,-3,2,0.06,-0.049,-226,-0.95,-0.78,-0.17,-6,-41,-12,0,-8,1,-18,-9,-9,2,-1,2,0,-4,0.051,-2,0,0,-1,0.018,1,1,0,2,-0.024,-2,2,0,0,-0.08
0,-2,STL,MIN,2022,4,-6,-0.05,0.13,-0.18,-6.5,-8,-6.3,-11.3,2.1,-0.2,2.3,-2.6,0.31,-0.102,-0.1,14,-5,-5,-2,-1,3,3,0.133,-0.066,271,0.78,1.01,-0.23,3,56,25,-1,1,2,16,5,-24,7,10,1,0,-3,0.104,-2,-3,0,0,0.061,-1,2,0,-1,-0.046,3,5,0,1,0.043
0,-1,NYR,CAR,2022,6,3,0.33,-0.05,0.38,-3.2,5.7,-3.6,3.7,4.9,-2.6,7.5,5.8,-0.055,0.073,0.1,-2,3,1,0,0,-4,8,-0.033,0.016,83,0.04,0.49,-0.45,9,35,-7,0,2,1,7,-5,10,-2,5,-2,0,4,-0.028,3,0,0,0,0.009,-4,-2,0,-2,-0.043,3,-1,0,0,0.099
0,-1,TBL,TOR,2022,5,6,0.32,0.29,0.03,3.4,1.5,3.5,4.3,3.7,0.8,2.9,5,0.096,-0.175,0.047,0,0,3,-4,3,-1,5,0.026,0.012,-199,-0.79,-0.72,-0.07,4,-44,-19,1,-3,0,13,-2,14,12,4,1,0,-1,0.023,7,0,0,-1,0.041,-4,-2,0,1,-0.101,-2,0,0,-1,-0.058
1,1,BOS,CAR,2022,9,7,0.29,-0.22,0.51,0.8,6.7,2.1,6.3,-2,-0.5,-1.5,-0.3,-0.171,0.162,0.2,-4,1,6,4,-4,-6,0,0.041,0.031,-51,-0.42,-0.2,-0.22,6,-14,-9,-1,0,2,-11,-12,4,1,1,-3,0,3,0.005,1,0,0,0,0.003,1,-4,0,0,0.089,3,-2,0,0,0.105
1,1,PIT,NYR,2022,7,7,-0.23,-0.22,-0.01,5,-2.1,7.4,-0.1,-5.5,-0.6,-4.9,-3,0.187,-0.231,0.084,8,-3,1,0,3,-4,-2,0.015,0.157,109,-0.21,0.47,-0.67,0,28,7,0,2,1,-10,3,-6,0,0,1,0,-2,0.029,-1,0,0,1,-0.028,6,1,0,-1,0.166,-1,-2,0,-1,-0.012
1,1,DAL,CGY,2022,13,13,0.71,-0.47,1.18,0.5,4.2,1.3,3.8,5.2,-2,7.2,-3.7,-0.3,0.159,0.321,-18,4,18,-2,-1,-6,9,-0.011,0.042,193,0.45,0.76,-0.31,7,40,11,1,3,0,27,-7,7,-15,6,3,0,0,-0.046,14,-3,0,0,0.117,-5,-7,0,1,-0.102,-3,-5,0,0,-0.08
1,1,LAK,EDM,2022,5,3,0.61,0.23,0.38,9.9,2.7,10.9,2.2,-0.9,3.8,-4.7,-0.9,0.13,-0.25,0.122,-2,0,7,-4,6,-2,-7,0.179,0.027,31,-0.39,0.16,-0.55,4,11,-7,-1,5,0,32,17,-2,-16,11,-3,0,-1,0.193,6,0,0,-5,0.137,1,4,0,-1,-0.001,0,2,0,-2,0
